+ virbr0 IPv4 me [ea:b0:af:b4:48:35]                        Workstation          local
+  wlan0 IPv6 me [0c:8b:fd:f4:55:01]                        Workstation          local
+  wlan0 IPv4 me [0c:8b:fd:f4:55:01]                        Workstation          local
+  wlan0 IPv6 HIKVISION DS-2CD2110-I - 483289301            Web Site             local
+  wlan0 IPv6 HIKVISION DS-2CD2110-I - 483289408            Web Site             local
+  wlan0 IPv6 HIKVISION DS-2CD2110-I - 483289255            Web Site             local
+  wlan0 IPv6 HIKVISION DS-2CD2110-I - 483288591            Web Site             local
+  wlan0 IPv6 HIKVISION DS-2CD2110-I - 483289352            Web Site             local
+  wlan0 IPv6 HIKVISION DS-2CD2110-I - 483289317            Web Site             local
+  wlan0 IPv6 HIKVISION DS-2CD2110-I - 483288799            Web Site             local
+  wlan0 IPv6 HIKVISION DS-2CD2010F-I - 526524352           Web Site             local
+  wlan0 IPv6 HIKVISION DS-2CD2110-I - 483288620            Web Site             local
+  wlan0 IPv6 HIKVISION DS-2CD2110-I - 483289348            Web Site             local
+  wlan0 IPv6 HIKVISION DS-2CD2110-I - 483292055            Web Site             local
+  wlan0 IPv6 HIKVISION DS-2CD2110-I - 483289399            Web Site             local
+  wlan0 IPv6 D-Link DIR-636L Configuration Utility (2)     Web Site             local
+  wlan0 IPv6 D-Link SharePort Web Access                   Web Site             local
+  wlan0 IPv6 D-Link DIR-636L Configuration Utility         Web Site             local
+  wlan0 IPv4 HIKVISION DS-2CD2110-I - 483289301            Web Site             local
+  wlan0 IPv4 HIKVISION DS-2CD2110-I - 483288591            Web Site             local
+  wlan0 IPv4 HIKVISION DS-2CD2110-I - 483289317            Web Site             local
+  wlan0 IPv4 HIKVISION DS-2CD2110-I - 483288799            Web Site             local
+  wlan0 IPv4 HIKVISION DS-2CD2010F-I - 526524352           Web Site             local
+  wlan0 IPv4 HIKVISION DS-2CD2110-I - 483288620            Web Site             local
+  wlan0 IPv4 HIKVISION DS-2CD2110-I - 483289348            Web Site             local
+  wlan0 IPv4 HIKVISION DS-2CD2110-I - 483292055            Web Site             local
